,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
43,The Elder Scrolls V: Skyrim,2016,Role-Playing,Bethesda Softworks,1240000,1500000,80000,540000,3360000
44,Watch Dogs 2,2016,Action,Ubisoft,980000,1740000,120000,520000,3360000
47,Middle-Earth: Shadow of Mordor,2014,Action,Warner Bros. Interactive Entertainment,1030000,1600000,50000,510000,3190000
48,Assassin's Creed IV: Black Flag,2013,Action-Adventure,Ubisoft,1070000,1550000,60000,510000,3190000
49,Tom Clancy's Ghost Recon Wildlands,2017,Shooter,Ubisoft,1070000,1350000,220000,470000,3120000
52,Killzone: Shadow Fall,2013,Shooter,Sony Computer Entertainment,890000,1580000,80000,470000,3020000
53,inFAMOUS: Second Son,2014,Action-Adventure,Sony Computer Entertainment,1350000,1090000,70000,500000,3010000
54,Doom (2016),2016,Shooter,Bethesda Softworks,930000,1480000,40000,460000,2920000
55,Mafia III,2016,Action-Adventure,2K Games,720000,1670000,40000,440000,2870000
56,Diablo III,2014,Role-Playing,Blizzard Entertainment,830000,1480000,80000,440000,2820000
57,Far Cry: Primal,2016,Action-Adventure,Ubisoft,630000,1610000,70000,410000,2730000
58,Need for Speed (2015),2015,Racing,Electronic Arts,590000,1660000,60000,410000,2720000
59,NBA 2K15,2014,Sports,2K Sports,1490000,550000,10000,440000,2490000
60,Dying Light,2015,Action,Warner Bros. Interactive,1180000,740000,130000,400000,2450000
62,Ratchet & Clank (2016),2016,Platform,Sony Interactive Entertainment,970000,970000,60000,390000,2380000
63,DriveClub,2014,Racing,Sony Computer Entertainment,370000,1630000,20000,360000,2370000
64,Uncharted: The Lost Legacy,2017,Action,Sony Interactive Entertainment,580000,1380000,40000,360000,2370000
65,Dragon Age III: Inquisition,2014,Role-Playing,Electronic Arts,1070000,800000,80000,380000,2340000
66,No Man's Sky,2016,Action-Adventure,Hello Games,890000,970000,40000,370000,2260000
67,Need for Speed: Payback,2017,Racing,Electronic Arts,620000,1180000,40000,340000,2180000
68,Destiny: The Taken King,2015,Shooter,Activision,970000,800000,50000,360000,2180000
69,Need for Speed Rivals,2013,Racing,Electronic Arts,750000,1040000,30000,350000,2170000
70,PlayStation VR Worlds,2016,Misc,Sony Interactive Entertainment,360000,1400000,90000,320000,2160000
71,Battlefield: Hardline,2015,Shooter,Electronic Arts,720000,970000,140000,330000,2150000
72,Rise of the Tomb Raider,2016,Adventure,Square Enix,610000,1080000,50000,320000,2070000
73,LittleBigPlanet 3,2014,Platform,Sony Computer Entertainment,780000,930000,10000,340000,2060000
74,Middle-Earth: Shadow of War,2017,Action,Warner Bros. Interactive Entertainment,820000,840000,60000,330000,2040000
76,Just Cause 3,2015,Action-Adventure,Square Enix,530000,1070000,90000,300000,1980000
77,Dishonored 2,2016,Action,Bethesda Softworks,620000,1020000,10000,310000,1970000
78,Lego Marvel Super Heroes,2013,Action,Warner Bros. Interactive Entertainment,590000,1000000,10000,300000,1910000
79,Until Dawn,2015,Adventure,Sony Computer Entertainment,620000,920000,60000,300000,1900000
81,The Evil Within,2014,Action,Bethesda Softworks,560000,900000,110000,280000,1860000
82,The Crew,2014,Racing,Ubisoft,440000,1040000,30000,270000,1790000
83,Kingdom Hearts 1.5 + 2.5 Remix,2017,Role-Playing,Square Enix,750000,510000,230000,260000,1750000
84,For Honor,2017,Action,Ubisoft,730000,660000,70000,280000,1750000
85,Titanfall 2,2016,Shooter,Electronic Arts,750000,620000,60000,280000,1720000
87,Tekken 7,2017,Fighting,Namco Bandai Games,600000,720000,120000,260000,1700000
89,The Order: 1886,2015,Shooter,Sony Computer Entertainment,440000,860000,70000,250000,1620000
90,Wolfenstein: The New Order,2014,Shooter,Bethesda Softworks,480000,840000,30000,250000,1610000
91,Detroit: Become Human,2018,Adventure,Sony Interactive Entertainment,550000,670000,120000,240000,1570000
